Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,853.0,18.0,118.0,853.0,0.1,71.20600000000002,0.0,0.0,75.38114619255066,,,,,,,,,,,,,,,,,,,,,30.054731432648488,19.38643929246498,67.79506402393129,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,891.0,19.0,38.0,891.0,0.1,22.606000000000016,0.0,0.0,79.09536862373352,,,,,,,,,,,,,,,,,,,,,7.764284119738888,7.717544555287296,22.35564614008395,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,920.0,20.0,29.0,920.0,0.1,11.207999999999993,0.0,0.0,82.04002785682678,,,,,,,,,,,,,,,,,,,,,2.9795475352859984,3.7461419476507993,11.143869717041072,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,158.0,1.0,158.0,1078.0,0.1,50.51000000000011,0.0,0.0,183.37936353683472,,,,,,,,,,,,,,,,,,,,,23.556136984168305,11.493799712887471,46.88184716899225,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,218.0,2.0,60.0,1138.0,0.1,20.008000000000038,0.0,0.0,189.04393005371094,,,,,,,,,,,,,,,,,,,,,5.399377959853266,5.809231771178522,19.72346452800028,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,304.0,3.0,86.0,1224.0,0.1,14.156999999999965,0.0,0.0,196.94108986854553,,,,,,,,,,,,,,,,,,,,,1.636448418821992,3.4929748287149884,14.044340071784818,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,337.0,4.0,33.0,1257.0,0.1,12.808999999999992,0.0,0.0,200.2434947490692,,,,,,,,,,,,,,,,,,,,,3.3507643486567407,4.215456349110186,12.723859772178916,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,411.0,5.0,74.0,1331.0,0.1,57.105,0.0,0.0,207.47412729263306,,,,,,,,,,,,,,,,,,,,,23.35880203587313,18.08613692342322,55.48736789777302,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,468.0,6.0,57.0,1388.0,0.1,23.90800000000001,0.0,0.0,212.884418964386,,,,,,,,,,,,,,,,,,,,,8.71755611372902,6.609023271173696,23.45799182717998,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,498.0,7.0,30.0,1418.0,0.1,13.305999999999994,0.0,0.0,215.9822075366974,,,,,,,,,,,,,,,,,,,,,3.865109334588077,4.492868672898148,13.21646643636866,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,538.0,8.0,40.0,1458.0,0.1,23.706000000000017,0.0,0.0,219.96936202049255,,,,,,,,,,,,,,,,,,,,,8.067575809874562,8.065857852798683,23.430133805081375,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,561.0,9.0,23.0,1481.0,0.1,9.505999999999995,0.0,0.0,222.73173999786377,,,,,,,,,,,,,,,,,,,,,2.755845786963506,3.300424942421605,9.461529143658012,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,664.0,10.0,103.0,1584.0,0.1,51.90600000000003,0.0,0.0,232.22803807258606,,,,,,,,,,,,,,,,,,,,,18.18389332804029,15.667236817717399,50.133275404745916,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,705.0,11.0,41.0,1625.0,0.1,21.90700000000002,0.0,0.0,236.24540281295776,,,,,,,,,,,,,,,,,,,,,6.866102348614224,7.3934924479454684,21.668805746393858,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,735.0,12.0,30.0,1655.0,0.1,15.006999999999994,0.0,0.0,239.29087114334106,,,,,,,,,,,,,,,,,,,,,4.663921777845,5.180972957143755,14.896861172147776,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,760.0,13.0,25.0,1680.0,0.1,11.505999999999995,0.0,0.0,241.97510194778442,,,,,,,,,,,,,,,,,,,,,3.4902497031365374,4.010634819301626,11.441615546899842,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,787.0,14.0,27.0,1707.0,0.1,14.004999999999995,0.0,0.0,245.0745768547058,,,,,,,,,,,,,,,,,,,,,4.5918320791994125,4.860250132966158,13.908824273584514,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,819.0,15.0,32.0,1739.0,0.1,16.105000000000004,0.0,0.0,248.36656880378723,,,,,,,,,,,,,,,,,,,,,5.227079699055061,5.38520003356753,15.969656793560569,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,879.0,16.0,60.0,1799.0,0.1,17.606000000000023,0.0,0.0,254.10466647148132,,,,,,,,,,,,,,,,,,,,,4.201949774593396,4.807052332974756,17.388642910702888,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,908.0,17.0,29.0,1828.0,0.1,13.705999999999994,0.0,0.0,257.12613463401794,,,,,,,,,,,,,,,,,,,,,4.122136049295873,4.711023816590921,13.613671784467574,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,959.0,18.0,51.0,1879.0,0.1,15.507999999999987,0.0,0.0,262.0563099384308,,,,,,,,,,,,,,,,,,,,,3.6880775530275858,4.455107970423937,15.350593881965642,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1004.0,19.0,45.0,1924.0,0.1,28.606000000000016,0.0,0.0,266.73739075660706,,,,,,,,,,,,,,,,,,,,,10.471520862165214,9.519056949489466,28.191135641349625,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1034.0,20.0,30.0,1954.0,0.1,10.407999999999992,0.0,0.0,269.88910388946533,,,,,,,,,,,,,,,,,,,,,2.6181981052327665,3.3843112873665904,10.350143994688402,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,29.0,1.0,29.0,1983.0,0.1,13.605999999999995,0.0,0.0,374.106431722641,,,,,,,,,,,,,,,,,,,,,4.148989887143277,4.63429610151007,13.512691162907501,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,166.0,2.0,137.0,2120.0,0.1,95.20599999999999,0.0,0.0,386.48803424835205,,,,,,,,,,,,,,,,,,,,,42.10992597138461,27.485314873505054,89.61608269122009,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,232.0,3.0,66.0,2186.0,0.1,40.206999999999994,0.0,0.0,392.92941212654114,,,,,,,,,,,,,,,,,,,,,15.972964020730332,12.73943732144905,39.23120755854132,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,306.0,4.0,74.0,2260.0,0.1,58.605,0.0,0.0,399.8472099304199,,,,,,,,,,,,,,,,,,,,,24.28304066751424,18.63527052821296,56.92184175226672,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,378.0,5.0,72.0,2332.0,0.1,55.60699999999999,0.0,0.0,406.6751527786255,,,,,,,,,,,,,,,,,,,,,22.32252165776,18.084910927743962,54.107940213127314,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,460.0,6.0,82.0,2414.0,0.1,48.50700000000001,0.0,0.0,414.3202278614044,,,,,,,,,,,,,,,,,,,,,21.21345215180826,14.87517694130437,46.86117240719372,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,488.0,7.0,28.0,2442.0,0.1,13.605999999999995,0.0,0.0,417.2417538166046,,,,,,,,,,,,,,,,,,,,,4.187900726554885,4.713316189897722,13.515756777454598,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,642.0,8.0,154.0,2596.0,0.1,100.40799999999987,0.0,0.0,431.3027024269104,,,,,,,,,,,,,,,,,,,,,35.835447612179784,30.361334650566125,95.0794047979153,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,667.0,9.0,25.0,2621.0,0.1,9.105999999999995,0.0,0.0,433.94153904914856,,,,,,,,,,,,,,,,,,,,,2.5902940039314593,3.0286836822585625,9.059352295139698,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
